"id","nombre_formateado","popularidad_categoria","velocidad_categoria","eficiencia","fecha_procesamiento"
"1","ruby","Moderado","Muy Rápido",2190.5,"2025-03-20T00:00:00.000Z"
"2","objective-c","Muy Popular","Rápido",3778.5,"2025-03-20T00:00:00.000Z"
"3","perl","Muy Popular","Rápido",4021,"2025-03-20T00:00:00.000Z"
"4","ruby","Moderado","Lento",277,"2025-03-20T00:00:00.000Z"
"5","rust","Moderado","Rápido",1534.5,"2025-03-20T00:00:00.000Z"
"6","ruby","Moderado","Rápido",1825,"2025-03-20T00:00:00.000Z"
"7","rust","Moderado","Lento",2459.5,"2025-03-20T00:00:00.000Z"
"8","dart","Poco Usado","Lento",960.5,"2025-03-20T00:00:00.000Z"
"9","scala","Poco Usado","Lento",1359.5,"2025-03-20T00:00:00.000Z"
"10","lua","Poco Usado","Muy Rápido",889.5,"2025-03-20T00:00:00.000Z"
"11","kotlin","Moderado","Rápido",3533,"2025-03-20T00:00:00.000Z"
"12","c++","Poco Usado","Lento",555.5,"2025-03-20T00:00:00.000Z"
"13","go","Moderado","Lento",1667.5,"2025-03-20T00:00:00.000Z"
"14","go","Poco Usado","Lento",465,"2025-03-20T00:00:00.000Z"
"15","c++","Moderado","Rápido",1726.5,"2025-03-20T00:00:00.000Z"
"16","go","Muy Popular","Rápido",4971.5,"2025-03-20T00:00:00.000Z"
"17","lua","Moderado","Muy Rápido",2490,"2025-03-20T00:00:00.000Z"
"18","rust","Moderado","Rápido",2224.5,"2025-03-20T00:00:00.000Z"
"19","rust","Moderado","Muy Rápido",3537,"2025-03-20T00:00:00.000Z"
"20","perl","Muy Popular","Lento",450.5,"2025-03-20T00:00:00.000Z"
"21","c#","Poco Usado","Muy Rápido",691,"2025-03-20T00:00:00.000Z"
"22","typescript","Muy Popular","Rápido",3924.5,"2025-03-20T00:00:00.000Z"
"23","java","Poco Usado","Rápido",1133.5,"2025-03-20T00:00:00.000Z"
"24","java","Muy Popular","Lento",4660,"2025-03-20T00:00:00.000Z"
"25","lua","Muy Popular","Lento",3808,"2025-03-20T00:00:00.000Z"
"26","java","Moderado","Muy Rápido",2749.5,"2025-03-20T00:00:00.000Z"
"27","swift","Moderado","Rápido",2721.5,"2025-03-20T00:00:00.000Z"
"28","haskell","Poco Usado","Lento",143.5,"2025-03-20T00:00:00.000Z"
"29","python","Moderado","Lento",2355.5,"2025-03-20T00:00:00.000Z"
"30","rust","Moderado","Rápido",1832,"2025-03-20T00:00:00.000Z"
"31","c++","Moderado","Rápido",2723,"2025-03-20T00:00:00.000Z"
"32","lua","Moderado","Muy Rápido",1536,"2025-03-20T00:00:00.000Z"
"33","scala","Muy Popular","Muy Rápido",4144.5,"2025-03-20T00:00:00.000Z"
"34","perl","Moderado","Rápido",2927.5,"2025-03-20T00:00:00.000Z"
"35","ruby","Moderado","Lento",3259.5,"2025-03-20T00:00:00.000Z"
"36","javascript","Poco Usado","Rápido",431.5,"2025-03-20T00:00:00.000Z"
"37","f#","Poco Usado","Lento",964,"2025-03-20T00:00:00.000Z"
"38","java","Muy Popular","Muy Rápido",4486,"2025-03-20T00:00:00.000Z"
"39","f#","Poco Usado","Rápido",229,"2025-03-20T00:00:00.000Z"
"40","php","Poco Usado","Muy Rápido",592.5,"2025-03-20T00:00:00.000Z"
"41","ruby","Moderado","Muy Rápido",2442,"2025-03-20T00:00:00.000Z"
"42","java","Moderado","Muy Rápido",2935.5,"2025-03-20T00:00:00.000Z"
"43","c#","Moderado","Rápido",2373.5,"2025-03-20T00:00:00.000Z"
"44","ruby","Muy Popular","Lento",378.5,"2025-03-20T00:00:00.000Z"
"45","c++","Poco Usado","Lento",1167.5,"2025-03-20T00:00:00.000Z"
"46","python","Muy Popular","Rápido",4223.5,"2025-03-20T00:00:00.000Z"
"47","r","Moderado","Muy Rápido",2944.5,"2025-03-20T00:00:00.000Z"
"48","c++","Moderado","Lento",1913.5,"2025-03-20T00:00:00.000Z"
"49","ruby","Moderado","Rápido",1880,"2025-03-20T00:00:00.000Z"
"50","php","Muy Popular","Rápido",4531.5,"2025-03-20T00:00:00.000Z"
"51","ruby","Muy Popular","Muy Rápido",4287,"2025-03-20T00:00:00.000Z"
"52","objective-c","Moderado","Lento",260.5,"2025-03-20T00:00:00.000Z"
"53","javascript","Moderado","Rápido",1625.5,"2025-03-20T00:00:00.000Z"
"54","python","Poco Usado","Lento",1058.5,"2025-03-20T00:00:00.000Z"
"55","rust","Muy Popular","Lento",4657,"2025-03-20T00:00:00.000Z"
"56","perl","Moderado","Muy Rápido",2488.5,"2025-03-20T00:00:00.000Z"
"57","haskell","Poco Usado","Lento",1268,"2025-03-20T00:00:00.000Z"
"58","ruby","Muy Popular","Muy Rápido",3637,"2025-03-20T00:00:00.000Z"
"59","perl","Moderado","Rápido",2777,"2025-03-20T00:00:00.000Z"
"60","scala","Muy Popular","Lento",4119,"2025-03-20T00:00:00.000Z"
"61","php","Poco Usado","Rápido",823.5,"2025-03-20T00:00:00.000Z"
"62","lua","Poco Usado","Lento",419.5,"2025-03-20T00:00:00.000Z"
"63","haskell","Muy Popular","Muy Rápido",3991,"2025-03-20T00:00:00.000Z"
"64","rust","Poco Usado","Rápido",478,"2025-03-20T00:00:00.000Z"
"65","r","Moderado","Rápido",2335,"2025-03-20T00:00:00.000Z"
"66","r","Moderado","Rápido",2676,"2025-03-20T00:00:00.000Z"
"67","perl","Poco Usado","Lento",15.5,"2025-03-20T00:00:00.000Z"
"68","lua","Muy Popular","Muy Rápido",3997.5,"2025-03-20T00:00:00.000Z"
"69","swift","Poco Usado","Rápido",879,"2025-03-20T00:00:00.000Z"
"70","c#","Muy Popular","Muy Rápido",4647.5,"2025-03-20T00:00:00.000Z"
"71","python","Moderado","Muy Rápido",2949.5,"2025-03-20T00:00:00.000Z"
"72","scala","Moderado","Lento",2859,"2025-03-20T00:00:00.000Z"
"73","go","Moderado","Muy Rápido",1688.5,"2025-03-20T00:00:00.000Z"
"74","java","Moderado","Muy Rápido",2747.5,"2025-03-20T00:00:00.000Z"
"75","javascript","Moderado","Rápido",2331.5,"2025-03-20T00:00:00.000Z"
"76","c++","Moderado","Rápido",1934.5,"2025-03-20T00:00:00.000Z"
"77","c++","Moderado","Rápido",1829,"2025-03-20T00:00:00.000Z"
"78","perl","Poco Usado","Lento",1462,"2025-03-20T00:00:00.000Z"
"79","dart","Muy Popular","Lento",4157,"2025-03-20T00:00:00.000Z"
"80","c#","Moderado","Muy Rápido",1635.5,"2025-03-20T00:00:00.000Z"
"81","java","Poco Usado","Lento",760.5,"2025-03-20T00:00:00.000Z"
"82","scala","Poco Usado","Muy Rápido",541.5,"2025-03-20T00:00:00.000Z"
"83","swift","Muy Popular","Muy Rápido",4143,"2025-03-20T00:00:00.000Z"
"84","php","Muy Popular","Rápido",4778,"2025-03-20T00:00:00.000Z"
"85","java","Muy Popular","Lento",417.5,"2025-03-20T00:00:00.000Z"
"86","f#","Poco Usado","Lento",566,"2025-03-20T00:00:00.000Z"
"87","c++","Moderado","Rápido",1822.5,"2025-03-20T00:00:00.000Z"
"88","typescript","Poco Usado","Rápido",520.5,"2025-03-20T00:00:00.000Z"
"89","f#","Poco Usado","Lento",166,"2025-03-20T00:00:00.000Z"
"90","c++","Moderado","Rápido",2823.5,"2025-03-20T00:00:00.000Z"
"91","php","Moderado","Lento",3319,"2025-03-20T00:00:00.000Z"
"92","rust","Moderado","Lento",2610,"2025-03-20T00:00:00.000Z"
"93","java","Moderado","Muy Rápido",2892,"2025-03-20T00:00:00.000Z"
"94","r","Muy Popular","Lento",4259.5,"2025-03-20T00:00:00.000Z"
